TIMESTAMP,BUY_EXCHANGE,SELL_EXCHANGE,COIN,SPREAD,PROFIT
2024-09-03 14:23,Kraken,Coinbase,BTC,0.8%,$8432
2024-09-03 14:47,Binance,Kraken,ETH,1.2%,$14782
2024-09-03 15:12,Coinbase,Binance,BTC,0.6%,$6234
2024-09-03 16:08,Kraken,Binance,SOL,0.9%,$9876
2024-09-03 17:23,Binance,Coinbase,AVAX,1.1%,$12345
2024-09-04 09:15,Coinbase,Kraken,MATIC,0.7%,$7890
2024-09-04 10:42,Kraken,Binance,LINK,0.8%,$8901
2024-09-04 11:58,Binance,Coinbase,UNI,1.0%,$10234
2024-09-04 13:17,Coinbase,Binance,AAVE,0.9%,$9543
2024-09-04 14:33,Kraken,Coinbase,DOT,1.1%,$11876

