TICKER,DATE,PRICE_BEFORE,PRICE_PEAK,PRICE_AFTER,VOLUME_SPIKE,PROFIT_EST
SHIB,2024-06-15,$0.000008,$0.000024,$0.000006,x47,$284000
DOGE,2024-07-22,$0.082000,$0.147000,$0.068000,x23,$512000
PEPE,2024-08-10,$0.000001,$0.000004,$0.000001,x89,$673000
FLOKI,2024-06-28,$0.000012,$0.000035,$0.000009,x34,$298000
AKITA,2024-07-05,$0.000005,$0.000018,$0.000004,x56,$387000
BABYDOGE,2024-08-19,$0.000003,$0.000011,$0.000002,x41,$452000
SAFEMOON,2024-07-12,$0.000007,$0.000021,$0.000005,x67,$521000
SHIBAI,2024-06-22,$0.000004,$0.000015,$0.000003,x38,$318000
ELONMOON,2024-08-05,$0.000009,$0.000028,$0.000007,x72,$598000
DOGEKING,2024-07-18,$0.000006,$0.000019,$0.000005,x45,$411000
BABYSHIB,2024-06-30,$0.000002,$0.000008,$0.000002,x53,$362000
SAFEDOGE,2024-08-12,$0.000011,$0.000034,$0.000008,x61,$489000
PUPPYCOIN,2024-07-25,$0.000004,$0.000013,$0.000003,x29,$274000
MOONCOIN,2024-06-18,$0.000008,$0.000026,$0.000006,x48,$398000
ROCKETDOGE,2024-08-22,$0.000005,$0.000017,$0.000004,x51,$418000

